,jurisdiction,week,first_dose,second_dose
577,District of Columbia,2021-01-04,4400,4400
578,Federal Entities,2021-01-04,108400,99600
579,Florida,2021-01-04,126600,126600
580,Georgia,2021-01-04,60000,60000
581,Guam,2021-01-04,7200,0
582,Hawaii,2021-01-04,8600,8600
583,Idaho,2021-01-04,9700,9700
584,Illinois,2021-01-04,60100,60100
585,Indiana,2021-01-04,39000,39000
586,Iowa,2021-01-04,18500,18500
587,Kansas,2021-01-04,16900,16900
588,Kentucky,2021-01-04,26400,26400
589,Louisiana,2021-01-04,27400,27400
590,Maine,2021-01-04,8300,8300
591,Mariana Islands,2021-01-04,2400,0
592,Marshall Islands,2021-01-04,6400,0
593,Maryland,2021-01-04,35900,35900
594,Massachusetts,2021-01-04,42000,42000
595,Michigan,2021-01-04,59800,59800
596,Micronesia,2021-01-04,9600,0
597,Minnesota,2021-01-04,32700,32700
598,Mississippi,2021-01-04,17500,17500
599,Missouri,2021-01-04,36200,36200
600,Montana,2021-01-04,6300,6300
601,Nebraska,2021-01-04,11200,11200
602,Nevada,2021-01-04,17300,17300
603,New Hampshire,2021-01-04,8400,8400
604,New Jersey,2021-01-04,53200,53200
605,New Mexico,2021-01-04,12500,12500
606,New York,2021-01-04,67700,67700
607,New York City,2021-01-04,51400,51400
608,North Carolina,2021-01-04,60500,60500
609,North Dakota,2021-01-04,4600,4600
610,Ohio,2021-01-04,69500,69500
611,Oklahoma,2021-01-04,22800,22800
612,Oregon,2021-01-04,24800,24800
613,Palau,2021-01-04,3200,0
614,Pennsylvania,2021-01-04,68400,68400
615,Philadelphia,2021-01-04,9500,9500
616,Puerto Rico,2021-01-04,20800,20800
617,Rhode Island,2021-01-04,6600,6600
618,South Carolina,2021-01-04,29700,29700
619,South Dakota,2021-01-04,5100,5100
620,Tennessee,2021-01-04,39700,39700
621,Texas,2021-01-04,158500,158500
622,U.S. Virgin Islands,2021-01-04,700,700
623,Utah,2021-01-04,16500,16500
624,Vermont,2021-01-04,3900,3900
625,Virginia,2021-01-04,50400,50400
626,Washington,2021-01-04,44100,44100
627,West Virginia,2021-01-04,11200,11200
628,Wisconsin,2021-01-04,34700,34700
629,Wyoming,2021-01-04,3500,3500
630,Alabama,2020-12-28,29100,29100
631,Alaska,2020-12-28,0,0
632,American Samoa,2020-12-28,0,0
633,Arizona,2020-12-28,41300,41300
634,Arkansas,2020-12-28,17700,17700
635,California,2020-12-28,232300,232300
636,Chicago,2020-12-28,16200,16200
637,Colorado,2020-12-28,33000,33000
638,Connecticut,2020-12-28,21900,21900
