,jurisdiction,week,first_dose,second_dose
590,Maine,2021-01-11,8775,8775
591,Mariana Islands,2021-01-11,0,0
592,Marshall Islands,2021-01-11,0,0
593,Maryland,2021-01-11,36075,36075
594,Massachusetts,2021-01-11,42900,42900
595,Michigan,2021-01-11,60450,60450
596,Micronesia,2021-01-11,0,0
597,Minnesota,2021-01-11,33150,33150
598,Mississippi,2021-01-11,17550,17550
599,Missouri,2021-01-11,37050,37050
600,Montana,2021-01-11,6825,6825
601,Nebraska,2021-01-11,11700,11700
602,Nevada,2021-01-11,17550,17550
603,New Hampshire,2021-01-11,8775,8775
604,New Jersey,2021-01-11,53625,53625
605,New Mexico,2021-01-11,12675,12675
606,New York,2021-01-11,68250,68250
607,New York City,2021-01-11,51675,51675
608,North Carolina,2021-01-11,61425,61425
609,North Dakota,2021-01-11,4875,4875
610,Ohio,2021-01-11,70200,70200
611,Oklahoma,2021-01-11,23400,23400
612,Oregon,2021-01-11,25350,25350
613,Palau,2021-01-11,0,0
614,Pennsylvania,2021-01-11,69225,69225
615,Philadelphia,2021-01-11,9750,9750
616,Puerto Rico,2021-01-11,21450,21450
617,Rhode Island,2021-01-11,6825,6825
618,South Carolina,2021-01-11,30225,30225
619,South Dakota,2021-01-11,5850,5850
620,Tennessee,2021-01-11,39975,39975
621,Texas,2021-01-11,159900,159900
622,U.S. Virgin Islands,2021-01-11,975,975
623,Utah,2021-01-11,16575,16575
624,Vermont,2021-01-11,4875,4875
625,Virginia,2021-01-11,50700,50700
626,Washington,2021-01-11,57525,57525
627,West Virginia,2021-01-11,11700,11700
628,Wisconsin,2021-01-11,35100,35100
629,Wyoming,2021-01-11,3900,3900
630,Alabama,2021-01-04,29250,29250
631,Alaska,2021-01-04,27300,27300
632,American Samoa,2021-01-04,7800,0
633,Arizona,2021-01-04,41925,41925
634,Arkansas,2021-01-04,18525,18525
635,California,2021-01-04,232050,232050
636,Chicago,2021-01-04,16575,16575
637,Colorado,2021-01-04,33150,33150
638,Connecticut,2021-01-04,22425,22425
639,Delaware,2021-01-04,5850,5850
640,District of Columbia,2021-01-04,4875,4875
641,Federal Entities,2021-01-04,117000,101400
642,Florida,2021-01-04,126750,126750
643,Georgia,2021-01-04,60450,60450
644,Guam,2021-01-04,7800,0
645,Hawaii,2021-01-04,8775,8775
646,Idaho,2021-01-04,9750,9750
647,Illinois,2021-01-04,60450,60450
648,Indiana,2021-01-04,39000,39000
649,Iowa,2021-01-04,18525,18525
650,Kansas,2021-01-04,17550,17550
651,Kentucky,2021-01-04,27300,27300
652,Louisiana,2021-01-04,28275,28275
653,Maine,2021-01-04,8775,8775
654,Mariana Islands,2021-01-04,7800,0
655,Marshall Islands,2021-01-04,0,0
